gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FASN	1100.96	-1.8564	0.1669	-11.1228	0.001541	0.004207
KRAS	994.41	-1.4708	0.0809	-18.1805	0.003004	0.009944
FAS	206.22	3.8425	0.1948	19.7254	0.000706	0.00096
MKI67	1444.93	-2.9879	0.1251	-23.8841	0.000434	0.001
PTCH1	2845.13	-0.4588	0.133	-3.4496	0.0678	0.1529
HMGB2	1151.8	-0.8977	0.3451	-2.6013	0.8032	0.99
G6PD	1088.04	-1.5358	0.1494	-10.2798	0.00161	0.003038
PSMA1	1109.01	0.4979	0.3288	1.5143	0.5897	0.99
PPARGC1A	2825.4	0.2906	0.3162	0.919	0.6188	0.99
PSMB3	2240.87	0.0794	0.2023	0.3925	0.3978	0.99
VIM	154.65	-2.1647	0.1676	-12.9159	0.002532	0.005078
H3C1	1338.15	0.3239	0.1855	1.7461	0.7536	0.99
SLC2A1	1155.75	-1.5279	0.1686	-9.0623	0.002507	0.004572
OAS1	1623.9	7.7669	0.2454	31.65	0.001136	0.003017
HNRNPA1	51.62	-0.115	0.261	-0.4406	0.4775	0.99
XIAP	624.35	-1.7521	0.1081	-16.2081	0.00187	0.002586
GATA1	1022.3	-0.1786	0.3555	-0.5024	0.8512	0.99
ISG20	383.72	5.2831	0.204	25.8975	0.00049	0.001048
GC	2240.35	0.4335	0.1992	2.1762	0.7107	0.99
HNRNPU	307.07	-0.1726	0.3934	-0.4387	0.3872	0.99
IRF7	184.96	6.6533	0.2093	31.7883	0.002298	0.003183
CTNNB1	419.74	-0.2331	0.1999	-1.1661	0.4953	0.99
TWNK	2685.83	0.1507	0.2905	0.5188	0.5678	0.8521
CXCL10	1730.26	8.8641	0.1223	72.4783	0.000571	0.001339
NOTCH2	2220.56	-0.0304	0.1898	-0.1602	0.3662	0.99
GUSB	1290.85	-0.2856	0.2024	-1.4111	0.8486	0.99
KIT	1980.95	0.2595	0.371	0.6995	0.6576	0.99
HNF4A	1702.12	0.0564	0.1237	0.4559	0.8686	0.99
HSPA5	1360.15	0.0429	0.236	0.1818	0.441	0.6087
PSMA2	2537.01	0.6383	0.2841	2.2467	0.6541	0.7228
RPS8	1323.87	-0.2037	0.2119	-0.9613	0.3159	0.8324
KCNMA1	129.18	-0.7955	0.2296	-3.4647	0.353	0.7065
ABCB1	1632.35	-0.0663	0.224	-0.296	0.2263	0.5538
RPS10	207.08	0.4369	0.1852	2.3591	0.7303	0.99
OASL	246.95	4.8429	0.1273	38.0432	0.001907	0.003994
ACLY	404.44	-2.1018	0.2005	-10.4828	7e-06	2.6e-05
NRXN1	2697.05	-0.2039	0.2335	-0.8732	0.1325	0.4939
RPL6	2764.28	-0.127	0.3586	-0.3542	0.5912	0.99
ABCG2	1319.97	-0.4192	0.3095	-1.3544	0.1641	0.8029
RPS3	2431.35	0.1033	0.2956	0.3495	0.3522	0.99
RUNX1	2623.83	-0.3979	0.2371	-1.6782	0.7291	0.99
RPL19	177.95	-0.3014	0.2356	-1.2793	0.1035	0.4478
RPL4	2501.73	0.0468	0.3585	0.1305	0.0898	0.0965
APOE	546.53	-0.044	0.1042	-0.4223	0.5521	0.99
IFIH1	188.44	5.6677	0.2339	24.2313	0.002579	0.003127
CDK4	1300.97	-2.6789	0.2298	-11.6575	9.9e-05	0.000318
NTRK2	2889.05	0.0722	0.1422	0.5077	0.9585	0.99
BST2	496.64	6.464	0.0855	75.6023	0.000946	0.001706
EGFR_like	1454.79	0.1216	0.1712	0.7103	0.5876	0.99
TUBB	140.98	0.032	0.38	0.0842	0.5345	0.99
LAMA1	1984.68	0.1192	0.1225	0.9731	0.0525	0.1471
STUB1	1726.03	-0.3237	0.2588	-1.2508	0.4242	0.99
CCND1	483.14	-2.7714	0.2328	-11.9046	0.003184	0.011405
TBP	2999.72	-0.2981	0.3344	-0.8914	0.6626	0.99
BMP4	2900.39	0.0709	0.1152	0.6155	0.5152	0.99
RAB14	1582.92	-1.0431	0.2662	-3.9185	0.417	0.99
RET	2175.41	0.908	0.3414	2.6596	0.3938	0.99
FGF7	1454.01	0.1792	0.1892	0.9471	0.1186	0.147
TNF	1133.75	4.6093	0.2021	22.807	0.000464	0.000877
IGF1	944.62	-0.1125	0.3582	-0.3141	0.9669	0.99
RPL11	350.94	-0.7595	0.2048	-3.7085	0.7337	0.99
PIK3CA	1011.34	-1.922	0.2415	-7.9586	0.003566	0.01012
RPL17	1697.83	-0.3233	0.3593	-0.8998	0.6396	0.99
RSAD2	1979.57	8.1292	0.1964	41.391	0.002529	0.008417
RPL21	239.43	-0.0139	0.3593	-0.0387	0.854	0.99
KIF5B	1640.97	-0.0619	0.2983	-0.2075	0.3381	0.99
FLT3	892.38	-0.0034	0.1396	-0.0244	0.557	0.99
BCL2	645.96	-1.9083	0.2071	-9.2144	0.002185	0.006139
RPLP0	2849.34	0.4105	0.1598	2.5688	0.0692	0.1114
UBA1	2611.41	-0.7459	0.1824	-4.0894	0.9712	0.99
SRSF5	759.46	0.2352	0.1077	2.1838	0.064	0.2662
CCT4	1737.98	0.1187	0.1673	0.7095	0.1517	0.6647
DNAJB4	995.64	0.2352	0.2996	0.785	0.7553	0.99
CYP3A5	1620.36	0.4439	0.2035	2.1813	0.5688	0.99
YWHAZ	511.69	-0.3944	0.2822	-1.3976	0.7531	0.99
ZNFX1	56.91	4.1452	0.1245	33.2948	0.002224	0.005905
DDX58	709.27	6.6916	0.18	37.1756	0.00069	0.001146
RAB7A	733.4	0.2298	0.2844	0.808	0.2761	0.7362
GAPDH	1870.55	0.3453	0.2693	1.2822	0.0755	0.2696
HMGA2	316.74	0.3872	0.1855	2.0873	0.7673	0.99
RPS11	2719.96	0.295	0.362	0.8149	0.3634	0.99
PTPN6	589.16	-1.8233	0.2081	-8.7617	0.003414	0.013179
SAMD9L	883.99	4.4036	0.0816	53.9657	0.000226	0.000825
TUBA1B	1077.35	0.1351	0.1996	0.6769	0.167	0.4128
SRSF2	629.4	0.15	0.1986	0.7553	0.1887	0.8684
PSMD3	641.59	0.175	0.1984	0.8821	0.0573	0.2285
CYP2D6	1250.68	-0.0373	0.3803	-0.0981	0.5273	0.99
IFITM3	1144.67	8.8809	0.2326	38.181	0.001198	0.001986
MCM2	356.98	-2.82	0.2188	-12.8885	0.001841	0.003527
HERC5	666.55	6.101	0.1579	38.6384	0.002995	0.011945
HSP90AA1	2351.85	0.285	0.2374	1.2005	0.9562	0.99
PSMA3	2787.96	-0.103	0.3488	-0.2953	0.3014	0.5189
CYP2C9	2766.39	-0.7188	0.3592	-2.0011	0.3097	0.99
UBE2D1	211.03	-0.0568	0.3336	-0.1703	0.3943	0.99
SLC22A1	976.59	0.3499	0.2544	1.3754	0.9788	0.99
PPIA	2074.94	-0.1131	0.3317	-0.341	0.8493	0.99
AHSG	1477.56	-0.3982	0.3379	-1.1785	0.1375	0.2594
U2AF2	336.07	-0.0945	0.2512	-0.3762	0.9387	0.99
MTOR	396.32	-1.4592	0.2242	-6.5085	0.001826	0.006216
ISG15	771.85	10.2357	0.2392	42.7914	0.001944	0.005496
NRXN2	2538.11	-0.1369	0.1195	-1.1456	0.5596	0.99
PSMC2	1331.71	-0.3535	0.182	-1.9423	0.7596	0.99
APOBEC3A	1699.9	3.8668	0.0957	40.4054	0.001271	0.002326
TRIM22	867.49	5.2791	0.2389	22.0975	0.000613	0.00193
CCT2	2165.97	0.2271	0.3905	0.5816	0.6144	0.99
SP100	1242.77	3.7414	0.2478	15.0985	0.001962	0.002008
SDHA	2459.71	0.1633	0.1077	1.5162	0.3432	0.99
ATP6V1B2	369.95	-1.6863	0.198	-8.5167	0.002826	0.003371
HSPB1	2769.73	0.6029	0.128	4.7102	0.1408	0.5569
TFRC	371.95	-0.1163	0.3952	-0.2943	0.7857	0.99
IFI6	1995.2	5.9171	0.1666	35.5168	0.000273	0.000312
HSPA1B	1596.36	-0.4573	0.1298	-3.5231	0.7097	0.99
CYP3A4	855.69	-0.1398	0.3997	-0.3498	0.5103	0.8136
CYP1A1	1830.53	0.0138	0.2653	0.052	0.5691	0.7813
TLR3	1471.7	3.18	0.0967	32.8852	0.001208	0.002438
H2BC3	1136.39	-0.0648	0.1487	-0.4358	0.8315	0.99
HNRNPM	1117.88	0.2365	0.233	1.015	0.9435	0.99
TGFB3	1737.28	-0.2281	0.2495	-0.9142	0.5338	0.99
NOTCH1	1822.72	-0.3106	0.2839	-1.094	0.2028	0.99
HNRNPF	427.93	0.2523	0.3839	0.6572	0.3361	0.99
OAS2	1667.34	6.1049	0.1851	32.9816	0.002585	0.007062
PCNA	1451.33	-1.8455	0.1275	-14.4745	0.002566	0.005643
OAS3	1423.92	6.0862	0.1292	47.1068	0.000239	0.000406
NCL	673.89	-0.3094	0.108	-2.8648	0.1001	0.3011
RPL3	535.33	0.2042	0.2141	0.9538	0.7115	0.99
RPS18	240.72	0.8287	0.3533	2.3456	0.1451	0.5925
COL3A1	1692.89	-0.371	0.1355	-2.738	0.7686	0.99
UBE2A	234.37	0.9927	0.2913	3.4078	0.3915	0.99
HGF	1324.42	-0.5009	0.2453	-2.042	0.2418	0.8286
IFIT1	1296.88	8.6901	0.1179	73.7074	0.002209	0.006693
HEY1	2939.9	-0.2856	0.2751	-1.0382	0.7989	0.99
ACTB	415.74	0.0591	0.2385	0.2478	0.0973	0.2448
MX2	230.85	5.0667	0.0964	52.5591	0.002542	0.007146
FGF2	1499.13	-0.2356	0.2881	-0.8178	0.3223	0.99
RAB1A	2490.99	-0.4296	0.3088	-1.3912	0.1805	0.6899
EMILIN1	2249.38	-0.3566	0.2708	-1.3168	0.3213	0.4811
PDGFRA	1495.21	0.2368	0.3397	0.6971	0.6206	0.99
HNF1A	887.17	0.1867	0.2125	0.8786	0.1868	0.5837
PSMB2	1208.35	0.2973	0.1426	2.0849	0.6452	0.7243
DHX58	514.11	3.973	0.1937	20.5111	0.000643	0.000898
BMP7	1966.24	0.3188	0.2412	1.3217	0.5545	0.99
IFITM1	461.42	7.7446	0.1335	58.012	0.001966	0.004299
ARF3	533.52	0.0712	0.3086	0.2307	0.6438	0.99
COL1A1	561.25	0.7898	0.2433	3.2462	0.8228	0.99
IFNL1	631.97	6.517	0.1886	34.5546	0.001827	0.002665
APOA2	563.6	0.1574	0.1649	0.9545	0.5051	0.99
UBE2L6	1767.69	4.9464	0.1068	46.3146	0.002501	0.00778
STAT1	1101.63	5.6565	0.2041	27.7144	0.000603	0.001167
PGK1	325.56	0.302	0.3882	0.7779	0.6474	0.99
COL4A1	2374.32	1.0547	0.1677	6.2892	0.5412	0.99
MT-ATP6	2917.42	-0.2396	0.304	-0.7882	0.3738	0.99
IL8	567.15	6.7562	0.1519	44.4779	0.002872	0.011449
CXCL9	872.67	7.1675	0.237	30.2426	0.001329	0.004763
HNRNPK	2838.46	-0.123	0.2257	-0.545	0.7477	0.99
SRSF3	18.48	0.6905	0.3575	1.9315	0.186	0.2827
TUBA1A	1633.66	0.0973	0.176	0.5528	0.7581	0.99
APOC2	2619.43	-0.1781	0.2722	-0.6543	0.4912	0.99
RPL7	2131.4	-0.1505	0.1063	-1.4158	0.3553	0.99
HNRNPL	1250.5	0.3297	0.2224	1.4825	0.9444	0.99
HMGB1	2841.92	0.5926	0.3953	1.4991	0.484	0.99
SCN1A	283.07	0.6465	0.2726	2.3716	0.9437	0.99
H2AC4	2429.04	0.1901	0.2233	0.8513	0.6858	0.99
SFPQ	577.53	-0.4036	0.1366	-2.9546	0.8472	0.99
DLL1	1737.13	0.0662	0.3164	0.2092	0.5985	0.99
HSP90B1	2730.01	0.1286	0.2825	0.4552	0.1117	0.2346
COL5A1	1333.74	0.6782	0.1916	3.5397	0.6338	0.99
IFI44L	72.39	6.7419	0.1713	39.3573	0.0008	0.002338
H2BC1	2507.01	0.0723	0.201	0.3597	0.7703	0.99
HSPA8	1286.02	0.3155	0.2995	1.0534	0.4018	0.6471
NCAM1	756.34	0.4319	0.2497	1.7297	0.4138	0.99
LAMB1	1785.5	0.1804	0.1874	0.9626	0.2676	0.99
CP	265.98	-0.0758	0.3274	-0.2315	0.6992	0.99
TGFB1	809.74	0.0021	0.1871	0.0112	0.4111	0.99
WNT3A	1298.47	0.4173	0.3292	1.2676	0.394	0.99
H4C1	1606.69	-0.2323	0.2407	-0.9651	0.835	0.99
CYP1B1	2976.85	0.2051	0.3739	0.5485	0.4838	0.7111
TF	812.5	0.3935	0.126	3.123	0.8787	0.99
CXCL11	1123.13	6.7014	0.0886	75.6366	0.002998	0.010517
PSMD2	1191.84	0.5158	0.2798	1.8435	0.0572	0.1262
MAVS	1874.25	3.5857	0.2134	16.8027	0.002422	0.003806
SMO	462.78	-0.1314	0.3325	-0.3952	0.9153	0.99
SAMHD1	1449.34	3.8978	0.1249	31.2074	0.001466	0.005448
CYP2B6	2940.93	0.0057	0.1731	0.0329	0.5682	0.99
SOCS1	629.17	-2.26	0.1152	-19.6181	0.001681	0.006244
RPL9	2535.01	0.0196	0.2572	0.0762	0.422	0.9457
RPS14	2441.42	-0.3165	0.3216	-0.9841	0.6943	0.99
HNRNPH1	300.6	0.1435	0.2361	0.6078	0.6803	0.99
VEGFA	1695.22	0.423	0.3476	1.2169	0.0767	0.0906
EIF4E	661.94	-1.5652	0.1786	-8.7637	0.002619	0.006272
FGFR1	2978.15	-0.271	0.2975	-0.9109	0.308	0.99
APOC1	2923.14	-0.511	0.1379	-3.7056	0.8664	0.99
GLI2	981.9	-0.2239	0.1941	-1.1535	0.2128	0.9892
PSMC1	480.66	-0.3868	0.1816	-2.13	0.6722	0.99
TFAM	1303.53	0.1001	0.1372	0.7296	0.1938	0.3214
RPS6	1357.12	-1.2671	0.1731	-7.32	2e-06	4e-06
UBB	1284.09	0.1289	0.3069	0.42	0.3805	0.445
GLI1	2210.15	-0.3349	0.1187	-2.8214	0.1798	0.3289
GATA4	2618.43	0.1284	0.2893	0.4438	0.9157	0.99
IFITM2	1833.37	5.9493	0.158	37.6538	0.000795	0.001383
TDP-43	2793.17	0.2695	0.3374	0.7988	0.1793	0.385
MT-CYB	2342.99	-0.2984	0.2919	-1.0223	0.221	0.99
SLC3A2	143.9	-1.6521	0.1344	-12.2924	0.002161	0.003058
RUNX2	1967.8	0.1567	0.1463	1.0711	0.4913	0.99
HSPA4	1956.24	0.1369	0.3307	0.414	0.7276	0.99
ARF4	198.67	-0.3847	0.3329	-1.1556	0.4802	0.99
RAB5A	910.44	0.3489	0.3382	1.0316	0.4797	0.6924
FLT1	1328.06	-0.4185	0.2739	-1.5279	0.7384	0.99
SLC16A1	2442.56	-0.2441	0.265	-0.9211	0.4775	0.99
RPL5	217.11	-1.6962	0.1515	-11.196	0.003761	0.011403
RPS13	2814.63	0.7425	0.1929	3.8491	0.4041	0.99
RPS12	432.87	-0.5382	0.3095	-1.7389	0.4184	0.99
HNRNPA2B1	2020.3	-0.561	0.3821	-1.4682	0.1518	0.2938
LDHA	2124.85	-0.5233	0.3896	-1.3432	0.3039	0.99
MYC	1358.78	-3.4179	0.179	-19.0944	0.000592	0.000818
RPS9	1021.72	-0.0293	0.2794	-0.1049	0.7919	0.99
E2F1	1221.8	-2.6611	0.0984	-27.0437	0.003489	0.012476
IFIT2	1789.75	7.2339	0.0948	76.307	0.001266	0.001379
CCND3	627.37	-2.2762	0.1855	-12.2706	0.000618	0.002342
CDH1	1233.08	-2.1029	0.1182	-17.791	0.000797	0.000855
UBE2E1	1706.06	-0.4168	0.3846	-1.0837	0.3997	0.99
STING1	239.02	4.4681	0.1533	29.1461	0.001271	0.003052
JAG1	2067.25	0.3915	0.3901	1.0036	0.7859	0.99
IFNL2	1536.9	4.8949	0.1702	28.7597	2e-06	4e-06
RPS16	548.99	0.1897	0.2459	0.7715	0.263	0.4077
RAB11A	1996.47	0.2908	0.1257	2.3134	0.9662	0.99
IFNB1	1757.91	7.4673	0.1104	67.6386	0.002738	0.009888
ITGA5	389.92	-1.3413	0.1608	-8.3414	0.003399	0.004142
MT-CO2	1581.83	-0.0961	0.3307	-0.2906	0.8239	0.99
MT-ND2	88.59	-0.0098	0.2662	-0.0368	0.3968	0.99
APC	2921.43	-0.4105	0.3773	-1.088	0.5381	0.99
MT-ND1	2383.15	-0.1778	0.1603	-1.1092	0.1805	0.7511
PSMB5	2332.74	0.3565	0.2703	1.3189	0.1299	0.1572
CYP11A1	2328.88	0.2037	0.1131	1.8011	0.75	0.99
DNAJB1	2437.19	0.2706	0.2669	1.0139	0.6013	0.99
CYP2A6	2498.11	-0.5558	0.2527	-2.1994	0.307	0.99
IL1B	1938.98	4.7375	0.2072	22.8644	0.000171	0.000471
TRIM25	515.44	4.0535	0.1473	27.5187	0.002015	0.003828
HNRNPC	84.82	-0.3297	0.3653	-0.9025	0.5777	0.99
FOXA2	2619.01	-0.5053	0.371	-1.362	0.0932	0.39
RPS15	1941.61	-0.5766	0.227	-2.5401	0.3901	0.9559
SCD	1006.43	-1.8122	0.1361	-13.3152	0.001256	0.004451
VEGFB	1927.95	-0.45	0.3301	-1.3632	0.4416	0.99
AKT1	186.68	-1.3669	0.2429	-5.6274	0.002072	0.002384
NTRK1	2475.82	-0.6302	0.324	-1.9451	0.3684	0.5381
IFIT5	479.86	4.4986	0.1802	24.9645	0.002428	0.002475
CASP1	1786.06	4.2968	0.1219	35.2486	0.001784	0.005099
PDGFRB	1913.49	-0.1628	0.2863	-0.5686	0.6871	0.99
CDK6	518.31	-1.8348	0.2382	-7.7028	0.003209	0.011527
CYP19A1	120.69	0.3391	0.2507	1.3526	0.6048	0.99
TTR	1399.48	-0.5295	0.2831	-1.8704	0.4062	0.4528
CSF1R	1597.25	-0.2175	0.374	-0.5816	0.8306	0.99
IL6	832.03	5.0398	0.09	55.9978	0.001137	0.004498
EGFR	639.23	-2.1918	0.1984	-11.0474	0.001978	0.003426
IRF9	976.8	4.6208	0.2283	20.24	0.001269	0.002075
SRSF7	721.42	0.458	0.1971	2.3237	0.2138	0.2586
HES1	1601.7	-0.0757	0.3447	-0.2196	0.3963	0.99
L1CAM	863.87	0.3521	0.1368	2.5738	0.8517	0.99
RPL8	1858.19	0.0856	0.3496	0.2449	0.9146	0.99
MCM4	1199.16	-2.1083	0.1128	-18.6906	0.001313	0.004718
RPS4X	461.07	0.1514	0.3697	0.4095	0.3728	0.99
PSMD1	1295.44	-0.1093	0.246	-0.4443	0.6771	0.8001
CACNA1A	2020.12	-0.1577	0.1809	-0.8718	0.0878	0.3534
FOXA1	2242.83	0.0295	0.2302	0.1281	0.1425	0.5037
ADAR	1643.35	5.1054	0.2396	21.308	0.000403	0.000543
FZD1	1517.72	0.0256	0.3967	0.0645	0.6896	0.99
MX1	1621.35	9.0299	0.1064	84.8675	0.002872	0.005772
NLGN1	2555.57	0.293	0.3135	0.9346	0.9217	0.99
NRF1	915.45	-0.219	0.26	-0.8423	0.5224	0.8748
SOCS3	888.6	-2.1259	0.1982	-10.726	0.003427	0.011298
RPS7	1518.6	0.062	0.1518	0.4084	0.2829	0.7783
SRSF1	386.51	-0.3669	0.2694	-1.3619	0.1145	0.4649
IFI27	263.82	6.0409	0.1518	39.7951	0.000191	0.00041
MBD2	1348.9	-1.5878	0.1241	-12.7945	0.000989	0.002881
HSPA1A	1902.9	0.064	0.2645	0.242	0.3557	0.99
SP1	1087.33	-1.4755	0.1658	-8.8993	0.003322	0.008782
IFI44	1992.44	6.7946	0.1699	39.9918	0.002913	0.010435
NPM1	2716.87	-0.5629	0.1442	-3.9036	0.4612	0.99
AFP	2554.35	0.1004	0.3393	0.2959	0.3699	0.99
TRAIL	1030.56	4.1568	0.225	18.4747	0.000472	0.001832
STAT2	1990.54	4.1673	0.168	24.8054	0.000363	0.000608
SLC1A1	1416.8	-0.452	0.1544	-2.9275	0.6002	0.99
CYP17A1	2436.11	-0.3899	0.3462	-1.1262	0.972	0.99
POLG	974.76	-0.0629	0.3128	-0.2011	0.3753	0.99
B2M	642.86	-0.275	0.2137	-1.2869	0.7569	0.99
RPL14	1811.17	0.0328	0.1531	0.2142	0.7765	0.99
RPL13	2446.96	-0.0476	0.1709	-0.2785	0.1877	0.3358
U2AF1	2227.74	-0.5714	0.2429	-2.3524	0.7813	0.99
FN1	679.97	-2.4691	0.2332	-10.5879	0.003184	0.004805
RAB6A	2716.39	0.1079	0.279	0.3867	0.0654	0.2002
IFIT3	476.34	6.7513	0.1138	59.326	0.00195	0.005138
NCAM2	792.71	0.3734	0.1781	2.0966	0.4695	0.99
DYNC1H1	2183.97	0.0098	0.1237	0.0792	0.6163	0.99
RPL10	1025.14	0.4662	0.1999	2.3322	0.208	0.6327
GATA3	1146.23	-0.4745	0.195	-2.4333	0.7256	0.99
HSP90AB1	1442.16	-0.3152	0.2205	-1.4295	0.6949	0.99
HERC6	192.86	5.2069	0.1162	44.8098	0.000796	0.003025
IFNAR1	649.65	3.6601	0.241	15.1871	0.000257	0.000632
F2	2106.54	0.2199	0.1829	1.2023	0.0595	0.2851
FZD4	2925.5	-0.2824	0.2182	-1.2942	0.7972	0.99
HMGA1	757.51	-0.1564	0.2924	-0.5349	0.8717	0.99
IFNA1	87.98	4.7469	0.2379	19.9533	0.002636	0.009213
APOA1	761.7	0.1662	0.1359	1.223	0.5537	0.99
HPX	2078.44	-0.1598	0.242	-0.6603	0.5491	0.99
UBE2B	2041.44	0.1858	0.2823	0.6582	0.7844	0.8936
EIF2AK2	258.72	5.8529	0.174	33.6374	0.000817	0.002299
TOP2A	1472.29	-2.0466	0.0996	-20.5482	0.003882	0.005962
FBN1	1986.94	0.152	0.3801	0.3999	0.4496	0.99
ARF1	1004.23	0.4708	0.1133	4.1553	0.5633	0.99
LAMC1	2111.93	-0.5116	0.3772	-1.3563	0.7906	0.99
FUS	714.98	0.0981	0.3984	0.2462	0.4024	0.4478
HPRT1	764.29	0.5247	0.1246	4.2111	0.0682	0.2154
UBC	2874.94	-0.0368	0.219	-0.168	0.7221	0.9416
BMP2	932.54	0.5485	0.107	5.1262	0.9385	0.99
COL1A2	231.51	0.2642	0.2888	0.9148	0.1004	0.1603
PSMB1	2111.07	-0.1155	0.1018	-1.1346	0.8677	0.99
PAX5	482.35	0.0481	0.2325	0.2069	0.3748	0.99
CCL5	1939.54	8.4652	0.1083	78.1644	0.001457	0.002391
IGF2	1117.92	-0.5585	0.2685	-2.0801	0.35	0.99
IFI35	267.53	3.7983	0.1539	24.6803	0.001361	0.005255
SLC7A5	2013.7	0.1961	0.3081	0.6365	0.3209	0.99
ACACA	821.52	-1.6152	0.194	-8.3258	0.001457	0.001763
PAX2	769.39	-0.0016	0.3414	-0.0047	0.8971	0.99
NONO	1991.68	-0.2969	0.1064	-2.7904	0.7896	0.99
HNRNPD	671.89	0.6015	0.3728	1.6135	0.3341	0.8797
RAB2A	1351.32	0.1421	0.1768	0.8037	0.8349	0.99
TUBG1	2669.56	-0.6883	0.323	-2.131	0.891	0.99
CCND2	1351.42	-2.5508	0.0975	-26.1621	0.00312	0.011396
WNT5A	1715.14	-0.38	0.1584	-2.399	0.57	0.7377
ELN	1946.43	0.5497	0.1214	4.528	0.206	0.4595
RAB27A	2367.67	-0.3191	0.2885	-1.1061	0.7752	0.99
PAX6	1920.43	-0.2361	0.3536	-0.6677	0.2373	0.6025
RPL15	2265.79	-0.5099	0.328	-1.5546	0.472	0.99
CYP7A1	1371.48	-0.0986	0.3092	-0.3189	0.5875	0.99
RPS2	1526.13	-0.4328	0.3375	-1.2824	0.8921	0.99
HMBS	387.4	-0.2186	0.1654	-1.3216	0.7075	0.99
SLC6A4	1480.26	-0.6347	0.1274	-4.9819	0.3771	0.8799
DVL1	2817.46	0.0073	0.2527	0.0289	0.5201	0.6143
ALB	1619.14	0.2245	0.245	0.9163	0.4594	0.99
ABCC1	2271.77	-0.417	0.1611	-2.5885	0.5663	0.99
RAB18	1910.66	-0.0481	0.3943	-0.122	0.2884	0.3071
CFTR	2069.15	-0.26	0.2501	-1.0396	0.5142	0.6797
APOB	2930.05	-0.2821	0.1302	-2.1667	0.2325	0.4441
MCL1	354.19	-1.7552	0.0849	-20.6737	0.001345	0.004085
RPL18	214.18	-0.3681	0.2327	-1.5819	0.3347	0.7024
MT-CO1	1659.42	-0.1133	0.1928	-0.5877	0.9896	0.99
COL6A1	2222.87	-0.818	0.3843	-2.1285	0.2453	0.4524
TGFB2	752.33	0.1579	0.3596	0.4391	0.2001	0.4622
SHH	1890.79	-0.4902	0.1443	-3.3971	0.6899	0.777
FGFR2	2060.54	0.9279	0.3234	2.8692	0.0961	0.3292
RAB4A	2184.43	0.0047	0.2583	0.0182	0.1545	0.3325
NKX2-1	730.08	-0.2061	0.3738	-0.5514	0.1845	0.5248
